Year,CPI,HousingIndex_Colorado,HousingIndex_Denver,HousingIndex_Boulder,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,CPI_monthly,HousingIndex_USA,HousingIndex_Mountain,Mortgage_Rate_monthly,Consumer_Inflation_Rate_monthly,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
2018.25,249.577,534.88,320.77,317.17,4.44,2.3309497646499366,9.458519215814665,9.864027126074571,7.431494089354063,249.577,254.41,341.16,4.44,2.3309497646499366,6.782791185729264,9.311118231336103
2018.5,251.018,548.61,329.72,326.26,4.57,2.8075506935940187,8.4638196915777,8.800527965682225,6.6000130693328,251.018,257.67,348.97,4.57,2.8075506935940187,6.409250464588068,9.839161499480674
2018.75,252.182,556.94,334.12,330.21,4.63,2.332055105808828,8.38149726584545,8.568643379366382,8.237183689524063,252.182,260.33,353.16,4.63,2.332055105808828,5.795098955581746,8.986544871003588
2019.0,252.767,558.58,334.3,332.28,4.64,2.0023809043401064,7.206878682609452,7.013668811421625,6.866497282346495,252.767,263.51,357.12,4.64,2.0023809043401064,5.488390712570057,7.653814849425733
2019.25,254.277,566.24,338.47,334.64,4.27,1.8831863513063984,5.862997307807372,5.517972378963143,5.508087145694729,254.277,266.62,362.27,4.27,1.8831863513063984,4.799339648598733,6.1877125102591135
2019.5,255.213,575.19,343.31,338.41,3.8,1.671194894390049,4.844971837917655,4.121679000363931,3.7240237847115942,255.213,270.47,370.63,3.8,1.671194894390049,4.9675942096480075,6.206837263948173
2019.75,256.43,580.47,345.55,339.46,3.61,1.6844977040391562,4.224871619923154,3.420926613192865,2.8012476908633843,256.43,273.91,377.27,3.61,1.6844977040391562,5.216456036568995,6.826933967606741
2020.0,258.63,585.31,348.04,341.57,3.72,2.3195274699624457,4.785348562426139,4.110080765779234,2.7958348380883624,258.63,278.94,386.63,3.72,2.3195274699624457,5.855565253690576,8.263328853046591
2020.25,258.076,591.67,351.48,343.94,3.45,1.4940399642909163,4.491028539135344,3.8437675421750805,2.7791059048529743,258.076,283.5,395.73,3.45,1.4940399642909163,6.33110794389018,9.236205040439472
2020.5,257.042,598.64,355.28,344.18,3.16,0.7166562831830481,4.0769137154679225,3.4866447234277897,1.7050323571998316,257.042,286.78,399.79,3.16,0.7166562831830481,6.030243649942668,7.867684752988158
2020.75,259.997,608.04,361.19,348.93,2.89,1.3910228912373812,4.749599462504506,4.526117783244099,2.7897248571260302,259.997,299.79,420.74,2.89,1.3910228912373812,9.448358950020076,11.522251968086517
2021.0,262.045,620.49,367.98,355.03,2.68,1.3204191315779434,6.0104901676035105,5.729226525686704,3.940627104253891,262.045,311.73,441.05,2.68,1.3204191315779434,11.755216175521621,14.075472674132893
2021.25,264.961,637.11,378.41,358.25,3.08,2.6678187820641908,7.679956732638127,7.661886878343016,4.160609408617777,264.961,323.84,464.75,3.08,2.6678187820641908,14.229276895943554,17.441184646097074
2021.5,270.654,683.15,406.03,386.21,2.98,5.295632620349999,14.116998530001347,14.284507993695117,12.211633447614624,270.654,341.37,500.77,2.98,5.295632620349999,19.035497593974494,25.258260586808067
2021.75,273.91,723.87,429.14,409.3,2.9,5.351215590949132,19.049733570159866,18.81281320080843,17.301464477115758,273.91,353.43,521.59,2.9,5.351215590949132,17.892524767337136,23.96967248181776
2022.0,280.845,744.11,440.22,415.17,3.1,7.174340285065539,19.92296410901062,19.63150171204957,16.93941357068418,280.845,367.56,544.54,3.1,7.174340285065539,17.90972957366952,23.46445981181271
2022.25,287.674,775.74,460.16,437.75,4.17,8.572204966013853,21.759193859773028,21.603551703179093,22.191207257501745,287.674,385.6,579.84,4.17,8.572204966013853,19.0711462450593,24.763851533082317
2022.5,294.957,837.24,498.63,478.84,5.52,8.979361103105798,22.555807655712524,22.806196586459127,23.984360839957542,294.957,397.19,591.28,5.52,8.979361103105798,16.351759088379183,18.074165784691566
2022.75,296.349,829.33,487.23,469.78,6.11,8.192106896425821,14.568914307817703,13.536375075732865,14.776447593452225,296.349,392.35,570.23,6.11,8.192106896425821,11.012081600316904,9.325332157441668
