Year,Mortgage_Rate,Consumer_Inflation_Rate
1991.0,9.67,6.254948535233562
1991.0833333333333,9.64,5.647058823529405
1991.1666666666667,9.37,5.312500000000009
1991.25,9.5,4.821150855365497
1991.3333333333333,9.49,4.809930178432875
1991.4166666666667,9.47,5.034856700232382
1991.5,9.62,4.695919938414161
1991.5833333333333,9.58,4.367816091954024
1991.6666666666667,9.24,3.7993920972644313
1991.75,9.01,3.396226415094339
1991.8333333333333,8.86,2.8485757121439192
1991.9166666666667,8.71,3.0665669409125185
1992.0,8.5,2.980625931445613
1992.0833333333333,8.43,2.672605790645899
1992.1666666666667,8.76,2.8189910979228294
1992.25,8.94,3.189910979228472
1992.3333333333333,8.85,3.1828275351591495
1992.4166666666667,8.67,3.0235988200590036
1992.5,8.51,3.0147058823529305
1992.5833333333333,8.13,3.1571218795888534
1992.6666666666667,7.98,3.0746705710102518
1992.75,7.92,2.9927007299270114
1992.8333333333333,8.09,3.279883381924198
1992.9166666666667,8.31,3.1204644412191396
1993.0,8.22,2.966714905933454
1993.0833333333333,8.02,3.2537960954446943
1993.1666666666667,7.68,3.2467532467532534
1993.25,7.5,3.0194104960460155
1993.3333333333333,7.47,3.1563845050215145
1993.4166666666667,7.47,3.2211882605583497
1993.5,7.42,2.9978586723768963
1993.5833333333333,7.21,2.8469750889679624
1993.6666666666667,7.11,2.840909090909083
1993.75,6.92,2.7639971651311157
1993.8333333333333,6.83,2.752293577981657
1993.9166666666667,7.16,2.7445460942997935
1994.0,7.17,2.8109627547435068
1994.0833333333333,7.06,2.450980392156854
1994.1666666666667,7.15,2.515723270440251
1994.25,7.68,2.6517794836008246
1994.3333333333333,8.32,2.364394993045882
1994.4166666666667,8.6,2.288488210818307
1994.5,8.4,2.494802494802495
1994.5833333333333,8.61,2.69896193771626
1994.6666666666667,8.51,2.900552486187835
1994.75,8.64,2.965517241379323
1994.8333333333333,8.93,2.609890109890123
1994.9166666666667,9.17,2.602739726027403
1995.0,9.2,2.597402597402576
1995.0833333333333,9.15,2.8708133971291794
1995.1666666666667,8.83,2.862985685071595
1995.25,8.46,2.7872195785180187
1995.3333333333333,8.32,3.125000000000022
1995.4166666666667,7.96,3.1186440677966054
1995.5,7.57,3.0425963488843744
1995.5833333333333,7.61,2.8301886792452713
1995.6666666666667,7.86,2.6174496644295386
1995.75,7.64,2.54521098459477
1995.8333333333333,7.48,2.7443105756358666
1995.9166666666667,7.38,2.603471295060067
1996.0,7.2,2.5316455696202667
1996.0833333333333,7.03,2.7906976744185963
1996.1666666666667,7.08,2.717031146454607
1996.25,7.62,2.8439153439153486
1996.3333333333333,7.93,2.832674571805005
1996.4166666666667,8.07,2.827087442472065
1996.5,8.32,2.8215223097112663
1996.5833333333333,8.25,2.8833551769331667
1996.6666666666667,8.0,2.8122956180510084
1996.75,8.23,3.0045721750489918
1996.8333333333333,7.92,3.0618892508143203
1996.9166666666667,7.62,3.2530904359141077
1997.0,7.6,3.378817413905133
1997.0833333333333,7.82,3.0381383322559907
1997.1666666666667,7.65,3.0322580645161246
1997.25,7.9,2.7652733118971096
1997.3333333333333,8.14,2.434336963484962
1997.4166666666667,7.94,2.237851662404089
1997.5,7.69,2.233567326100827
1997.5833333333333,7.5,2.165605095541401
1997.6666666666667,7.48,2.2900763358778775
1997.75,7.43,2.21940393151554
1997.8333333333333,7.29,2.0859671302149163
1997.9166666666667,7.21,1.8903591682419618
1998.0,7.1,1.6970458830924073
1998.0833333333333,6.99,1.6311166875784044
1998.1666666666667,7.04,1.440200375704448
1998.25,7.13,1.3767209011263937
1998.3333333333333,7.14,1.4383989993745905
1998.4166666666667,7.14,1.6885553470919357
1998.5,7.0,1.6229712858926382
1998.5833333333333,6.95,1.74563591022443
1998.6666666666667,6.92,1.6169154228855787
1998.75,6.72,1.4267990074441794
1998.8333333333333,6.71,1.4860681114551078
1998.9166666666667,6.87,1.4842300556586308
1999.0,6.72,1.606922126081578
1999.0833333333333,6.79,1.6666666666666607
1999.1666666666667,6.81,1.6666666666666607
1999.25,7.04,1.7283950617283939
1999.3333333333333,6.92,2.281134401972884
1999.4166666666667,7.15,2.091020910209096
1999.5,7.55,1.9656019656019597
1999.5833333333333,7.63,2.1446078431372584
1999.6666666666667,7.94,2.2643818849449104
1999.75,7.82,2.629969418960254
1999.8333333333333,7.85,2.56253813300793
1999.9166666666667,7.74,2.6203534430225606
2000.0,7.91,2.676399026763998
2000.0833333333333,8.21,2.792956891317555
2000.1666666666667,8.33,3.2179720704310855
2000.25,8.24,3.762135922330101
2000.3333333333333,8.15,3.013863773357439
2000.4166666666667,8.52,3.1325301204819134
2000.5,8.29,3.7349397590361377
2000.5833333333333,8.15,3.5992801439711952
2000.6666666666667,8.03,3.3512866546977715
2000.75,7.91,3.45649582836709
2000.8333333333333,7.8,3.4503271861986873
2000.9166666666667,7.75,3.444180522565321
2001.0,7.38,3.4360189573459543
2001.0833333333333,7.03,3.7212049616065945
2001.1666666666667,7.05,3.529411764705892
2001.25,6.95,2.9824561403508643
2001.3333333333333,7.08,3.2182562902282053
2001.4166666666667,7.15,3.5630841121495394
2001.5,7.16,3.193960511033689
2001.5833333333333,7.13,2.7214823393167498
2001.6666666666667,6.95,2.7214823393167498
2001.75,6.82,2.5921658986175045
2001.8333333333333,6.62,2.127659574468077
2001.9166666666667,6.66,1.894374282433997
2002.0,7.07,1.603665521191311
2002.0833333333333,7.0,1.1958997722095743
2002.1666666666667,6.89,1.1363636363636465
2002.25,7.01,1.3628620102214661
2002.3333333333333,6.99,1.643990929705219
2002.4166666666667,6.81,1.2408347433727984
2002.5,6.65,1.0692177827799743
2002.5833333333333,6.49,1.465614430665152
2002.6666666666667,6.29,1.747463359639223
2002.75,6.09,1.516002245929271
2002.8333333333333,6.11,2.0270270270270174
